apc_nosubsp,leaflength_min,leaflength_max,leafwidth_min,leafwidth_max,extra_reference,leafarea_mm2
Eucalyptus chlorophylla,7,16.5,1,2.5,NA,1370.8333333333333
Eucalyptus cinerea,3.5,14,1.2,5,NA,1808.3333333333333
Eucalyptus cladocalyx,6.5,17,1.2,4,NA,2036.6666666666665
Eucalyptus clelandiorum,8,15.5,0.9,2.5,NA,1331.6666666666665
Eucalyptus clivicola,4.5,9.5,0.5,2,NA,583.3333333333333
Eucalyptus cloeziana,6,14.5,0.9,3.2,NA,1400.8333333333333
Eucalyptus cneorifolia,4.5,10,0.5,1,NA,362.49999999999994
Eucalyptus coccifera,5,10,1,2,NA,749.9999999999999
Eucalyptus codonocarpa,6.5,15,1,2,NA,1074.9999999999998
Eucalyptus comitae-vallis,6,10,0.6,1.5,NA,560
Eucalyptus concinna,7.3,14,0.8,2,NA,993.9999999999999
Eucalyptus conferruminata,4.5,9.3,1,3.2,NA,966
Eucalyptus confluens,6,15,0.9,2.2,NA,1085
Eucalyptus conglobata,6.2,13,0.8,4,NA,1535.9999999999998
Eucalyptus conglomerata,7,13.7,1.4,3.5,NA,1690.4999999999998
Eucalyptus conica,5.5,14,1,2.5,NA,1137.5
Eucalyptus consideniana,6.5,18,1,3,NA,1633.333333333333
Eucalyptus conspicua,3.5,22,1.4,6.7,NA,3442.4999999999995
Eucalyptus conveniens,6,13,2.3,4,NA,1994.9999999999998
Eucalyptus coolabah,8,17,1,2.5,NA,1458.3333333333333
Eucalyptus cooperiana,6.5,10.5,1,2.5,NA,991.6666666666666
Eucalyptus cordata,3,8.5,2.5,8,NA,2012.4999999999995
Eucalyptus cornuta,6,13.5,1,3.3,NA,1397.5
Eucalyptus coronata,7,13,1.3,2.5,NA,1266.6666666666663
Eucalyptus corrugata,9,13,1.2,2,NA,1173.3333333333333
Eucalyptus corticosa,7,15,0.9,2.2,NA,1136.6666666666665
Eucalyptus corynodes,8,17,1.5,3.5,NA,2083.333333333333
Eucalyptus cosmophylla,8,18,1.3,5,NA,2729.9999999999995
Eucalyptus crebra,5.5,18,0.7,2.7,NA,1331.6666666666667
Eucalyptus crenulata,2,6.5,1.5,5.5,NA,991.6666666666666
Eucalyptus creta,5.5,13.2,1.2,3.5,NA,1464.8333333333333
Eucalyptus cretata,7.8,15,1.3,3.5,NA,1824
Eucalyptus crispata,5.5,12.5,1,2,NA,899.9999999999998
Eucalyptus croajingolensis,8,18,1.2,4.2,NA,2339.9999999999995
Eucalyptus crucis,1.7,10,0.7,6.5,NA,1403.9999999999998
Eucalyptus cullenii,7,15,0.8,1.5,NA,843.3333333333331
Eucalyptus cunninghamii,3,10,0.3,0.8,NA,238.33333333333331
Eucalyptus cuprea,8,13.5,1.2,2,NA,1146.6666666666665
Eucalyptus cupularis,10,23,0.9,2.7,NA,1979.9999999999995
Eucalyptus curtisii,6.3,14.5,1,3.3,NA,1490.6666666666665
Eucalyptus cyanophylla,7,16,1.7,3.5,NA,1993.333333333333
Eucalyptus cyclostoma,6,10,1,1.5,NA,666.6666666666665
Eucalyptus cylindriflora,4,7.5,0.4,1,NA,268.33333333333326
Eucalyptus cylindrocarpa,6,10,0.5,1.3,NA,479.99999999999994
Eucalyptus cypellocarpa,9,30.5,1,4.8,NA,3818.3333333333326
Eucalyptus dalrympleana,7,24,1,4,NA,2583.333333333333
Eucalyptus dawsonii,7,16,1.2,3.2,NA,1686.6666666666665
Eucalyptus dealbata,5.5,14,1,4,NA,1625
Eucalyptus deanei,7,18.5,1.5,4,NA,2337.4999999999995
Eucalyptus decipiens,6.5,10.5,1,2.5,NA,991.6666666666666
Eucalyptus decolor,6.5,13,0.8,2.2,NA,975
Eucalyptus decorticans,5.5,12.5,1,3,NA,1199.9999999999998
Eucalyptus decurva,5,10.5,1.2,2.5,NA,955.8333333333333
Eucalyptus deflexa,5,7.5,0.5,0.9,NA,291.66666666666663
Eucalyptus delegatensis,7,23,1.3,5.5,NA,3399.9999999999995
Eucalyptus delicata,7,10,0.5,1,NA,425
Eucalyptus dendromorpha,7,12,1,2.5,NA,1108.3333333333333
Eucalyptus densa,4,9,0.4,1,NA,303.33333333333326
Eucalyptus denticulata,13,25,1.4,2.5,NA,2469.9999999999995
Eucalyptus depauperata,3,7.7,0.4,1.5,NA,338.83333333333326
Eucalyptus desmondensis,5.5,11,1.5,2.5,NA,1099.9999999999998
Eucalyptus deuaensis,7,10,1,2.3,NA,934.9999999999999
Eucalyptus dielsii,5,10,0.8,2,NA,699.9999999999999
Eucalyptus diminuta,5,11.5,0.6,2,NA,714.9999999999999
Eucalyptus diptera,6,12,0.7,2,NA,809.9999999999999
Eucalyptus discreta,4,9.5,0.5,1.5,NA,449.99999999999994
Eucalyptus dissimulata,4.5,9.5,0.5,1.7,NA,513.3333333333334
Eucalyptus distans,7,15,1.2,2.6,NA,1393.333333333333
Eucalyptus distuberosa,5.8,10,0.8,1.6,NA,632
Eucalyptus diversicolor,7,13.5,1.5,3.7,NA,1776.6666666666665
Eucalyptus diversifolia,5.5,11.5,0.9,2.2,NA,878.3333333333333
Eucalyptus dives,7,15,1.4,4.2,NA,2053.333333333333
Eucalyptus dolichocera,6,15,1.2,2.3,NA,1225
Eucalyptus dolichorhyncha,4.5,9,1,2.7,NA,832.4999999999999
Eucalyptus dolorosa,7.5,10.2,1.4,2.3,NA,1091.4999999999998
Eucalyptus doratoxylon,4.2,9.5,0.5,1.6,NA,479.49999999999994
Eucalyptus dorrigoensis,6,22,1.2,2.7,NA,1820
Eucalyptus drummondii,4,7,1,2,NA,550
Eucalyptus dumosa,4.8,12,0.8,2.5,NA,924
Eucalyptus dundasii,6,12,0.6,1.7,NA,689.9999999999998
Eucalyptus dunnii,8,30,1.5,4,NA,3483.333333333333
Eucalyptus dura,9,18,1.5,3.3,NA,2159.9999999999995
Eucalyptus dwyeri,7,15,1,2.7,NA,1356.6666666666665
Eucalyptus ebbanoensis,5.5,13,0.7,2.4,NA,955.8333333333331
Eucalyptus ecostata,7,8.3,1.3,2.4,NA,943.5
Eucalyptus educta,2.5,3.5,2,3,NA,500
Eucalyptus effusa,5,12.5,0.5,2,NA,729.1666666666665
Eucalyptus elaeophloia,7,11.5,1.2,2.5,NA,1140.8333333333333
Eucalyptus elata,6,22,0.6,2,NA,1213.3333333333333
Eucalyptus elliptica,7,20,1.3,3,NA,1934.9999999999998
Eucalyptus erectifolia,5.5,10.5,0.7,1.5,NA,586.6666666666666
Eucalyptus eremicola,4.5,10,0.6,1.7,NA,555.8333333333333
Eucalyptus eremophila,5,11,0.5,2.5,NA,799.9999999999999
Eucalyptus erosa,7,14,1.1,2.8,NA,1365
Eucalyptus erythrocorys,9,20,1.2,3,NA,2029.9999999999998
Eucalyptus erythronema,5,8.5,0.7,1.7,NA,539.9999999999999
Eucalyptus eudesmioides,4,10,0.6,2,NA,606.6666666666666
Eucalyptus eugenioides,7,16,0.9,3.5,NA,1686.6666666666665
Eucalyptus ewartiana,4.5,9.5,1,3,NA,933.3333333333333
Eucalyptus exigua,4,9,0.5,1.3,NA,389.99999999999994
Eucalyptus exilipes,5,13,0.4,1,NA,419.9999999999999
Eucalyptus exilis,3.5,6.5,0.8,1.5,NA,383.3333333333332
Eucalyptus expressa,9,16,1.8,4.8,NA,2749.9999999999995
Eucalyptus exserta,6.5,18,0.7,2.7,NA,1388.3333333333333
Eucalyptus extensa,4,10.5,0.7,1.8,NA,604.1666666666665
Eucalyptus extrica,7,15,2,5,NA,2566.6666666666665
Eucalyptus falcata,6.8,13,0.7,2,NA,891.0000000000001
Eucalyptus falciformis,7.5,18,1,3,NA,1699.9999999999998
Eucalyptus famelica,4.5,11,0.9,2.3,NA,826.6666666666665
Eucalyptus farinosa,6,12,2.2,5,NA,2159.9999999999995
Eucalyptus fasciculosa,8,13,1.3,3.5,NA,1680
Eucalyptus fastigata,7,20.5,1.5,3.6,NA,2337.4999999999995
Eucalyptus fibrosa,8.5,23,1.5,5.5,NA,3674.999999999999
Eucalyptus flavida,6.5,11,0.9,1.5,NA,699.9999999999999
Eucalyptus flindersii,5.5,18,1,3,NA,1566.6666666666665
Eucalyptus flocktoniae,6,14,0.8,2,NA,933.333333333333
Eucalyptus foecunda,5,9.5,0.5,1.3,NA,434.99999999999994
Eucalyptus foliosa,4.5,7.5,0.5,1.1,NA,320
Eucalyptus formanii,3.5,9.5,0.2,0.5,NA,151.66666666666663
Eucalyptus forrestiana,5.5,9.5,1.5,2.5,NA,999.9999999999999
Eucalyptus fraseri,9,17,1.3,4,NA,2296.666666666666
Eucalyptus fraxinoides,8,18,1,3.5,NA,1949.9999999999995
Eucalyptus frenchiana,6,10,0.7,1,NA,453.33333333333326
Eucalyptus froggattii,6.5,13,1.2,2.5,NA,1202.5
Eucalyptus fruticosa,3,8,0.7,1.7,NA,439.99999999999994
Eucalyptus fulgens,9,24.5,1.3,4,NA,2959.166666666666
Eucalyptus fusiformis,7.5,17.5,1.3,2.6,NA,1625
Eucalyptus gamophylla,4,10,0.9,2,NA,676.6666666666666
Eucalyptus gardneri,5,11,0.8,2.7,NA,933.3333333333333
Eucalyptus georgei,10,20,1.5,4.5,NA,2999.9999999999995
Eucalyptus gigantangion,6,16,1,2,NA,1100
Eucalyptus gillenii,7,18,0.9,2.6,NA,1458.3333333333333
Eucalyptus gillii,3,8,1.2,3.5,NA,861.6666666666666
Eucalyptus gittinsii,5.5,13,1.2,3.2,NA,1356.6666666666667
Eucalyptus glaucescens,6,17,1.2,3.5,NA,1801.6666666666663
Eucalyptus glaucina,9,17,2,4.2,NA,2686.666666666666
Eucalyptus globoidea,7,13.5,1.2,4,NA,1776.6666666666665
Eucalyptus globulus,12,40,1.2,6,NA,6239.999999999999
Eucalyptus glomericassis,12,25,1,2,NA,1850
Eucalyptus glomerosa,3.8,9.5,0.8,2.3,NA,687.1666666666665
Eucalyptus gomphocephala,10,18,1.5,3,NA,2100
Eucalyptus gongylocarpa,3,8,0.8,1.8,NA,476.66666666666663
Eucalyptus goniantha,7,13.5,1.5,4.5,NA,2050
Eucalyptus goniocalyx,5.5,25,0.8,4,NA,2439.9999999999995
Eucalyptus goniocarpa,4.5,9.5,0.5,1.2,NA,396.66666666666663
Eucalyptus gracilis,4.5,11,0.4,1.7,NA,542.5
Eucalyptus grandis,8,18,1.5,4,NA,2383.333333333333
Eucalyptus granitica,7,15,1.3,3.2,NA,1649.9999999999998
Eucalyptus gregoryensis,8,17,1.2,3,NA,1750
Eucalyptus gregsoniana,5.5,12,0.8,2.5,NA,962.4999999999998
Eucalyptus griffithsii,8,13.5,0.8,2.7,NA,1254.1666666666665
Eucalyptus grisea,8,18,3,6,NA,3899.999999999999
Eucalyptus grossa,7.5,12.5,2.5,5.5,NA,2666.666666666666
Eucalyptus guilfoylei,8,15,1.5,4,NA,2108.333333333333
Eucalyptus gunnii,4,9,1.2,3.5,NA,1018.3333333333331
Eucalyptus gypsophila,7.5,12,1.5,2.5,NA,1300
Eucalyptus haemastoma,9,21,1.5,3.5,NA,2499.9999999999995
Eucalyptus hallii,12,17,2,3.5,NA,2658.333333333333
Eucalyptus halophila,5,8,0.5,1.2,NA,368.33333333333326
