apc_nosubsp,budlength_min,budlength_max,budwidth_min,budwidth_max,frtlength_min,frtlength_max,frtwidth_min,frtwidth_max,bud_n_min,bud_n_max,max_height_m,colours_all,tree_names,range_names,subgenus
Corymbia opaca,0.9,1.3,0.6,0.8,1.6,2.9,1.2,1.9,7,7,15,white_cream,Corymbia_opaca,Corymbia opaca,Corymbia
Corymbia pachycarpa,1.5,2.6,0.8,1,2.3,3.8,2.5,3.3,3,7,6,white_cream,Corymbia_pachycarpa,Corymbia pachycarpa,Corymbia
Corymbia papillosa,0.6,NA,0.4,0.5,1.2,1.7,1,1.6,7,7,8,white_cream,Corymbia_papillosa,Corymbia papillosa,Corymbia
Corymbia papuana,0.5,0.6,0.4,0.5,0.6,1.2,0.6,0.8,3,7,40,white_cream,Corymbia_papuana,Corymbia papuana,Blakella
Corymbia paractia,0.5,0.7,0.4,0.5,0.7,1.1,0.6,0.9,3,7,8,white_cream,NA,Corymbia paractia,Blakella
Corymbia pauciseta,0.6,0.7,0.4,0.5,0.8,1.5,0.7,1.2,7,7,6,white_cream,Corymbia_pauciseta,Corymbia pauciseta,Blakella
Corymbia peltata,0.6,0.8,0.4,0.5,0.7,1.4,0.8,1.2,7,7,20,white_cream,Corymbia_peltata,Corymbia peltata,Blakella
Corymbia petalophylla,0.7,0.8,0.4,0.5,0.8,1.4,0.8,1.2,7,7,15,white_cream,Corymbia_petalophylla,Corymbia petalophylla,Blakella
Corymbia plena,1.1,1.7,0.7,1.2,2,3.1,1.3,2,7,7,15,white_cream,Corymbia_plena,Corymbia plena,Corymbia
Corymbia pocillum,0.5,0.6,0.4,0.55,0.9,1.4,0.8,1.2,7,7,10,white_cream,NA,Corymbia pocillum,Corymbia
Corymbia polycarpa,0.9,1.4,0.5,0.8,1.5,3.5,0.8,1.6,7,9,20,white_cream,Corymbia_polycarpa,Corymbia polycarpa,Corymbia
Corymbia polysciada,0.6,0.8,0.4,0.7,0.9,1.5,0.8,1.1,7,7,15,white_cream,Corymbia_polysciada,Corymbia polysciada,Blakella
Corymbia porrecta,1,1.5,0.7,0.9,1.8,3,1.5,2.6,7,7,8,white_cream,Corymbia_porrecta,Corymbia porrecta,Corymbia
Corymbia ptychocarpa,1.3,2.4,1.1,1.8,3,5.5,2.2,4.5,7,7,20,red white_cream,Corymbia_ptychocarpa,Corymbia ptychocarpa,Corymbia
Corymbia rhodops,0.8,1.5,0.4,0.7,1.7,2.8,1.2,2,7,7,15,red white_cream,Corymbia_rhodops,Corymbia rhodops,Corymbia
Corymbia scabrida,0.7,NA,0.6,NA,0.8,1.3,0.8,1.1,7,7,18,white_cream,Corymbia_scabrida,Corymbia scabrida,Blakella
Corymbia serendipita,0.5,NA,0.4,NA,1,1.5,0.8,1,7,7,12,white_cream,NA,Corymbia serendipita,Corymbia
Corymbia setosa,0.6,1.2,1.1,2.5,1.1,2.8,1.1,2.5,3,7,5,white_cream,NA,Corymbia setosa,Corymbia
Corymbia sphaerica,1,1.2,0.9,1,2.1,3.1,2,3.1,3,3,10,NA,NA,Corymbia sphaerica,Corymbia
Corymbia stockeri,0.6,0.8,0.4,0.6,1,1.7,0.8,1.4,7,7,20,white_cream,Corymbia_stockeri,Corymbia stockeri,Corymbia
Corymbia terminalis,0.6,1.4,0.5,1,1.5,3.1,1.2,2.2,7,7,18,pink white_cream,Corymbia_terminalis,Corymbia terminalis,Corymbia
Corymbia tessellaris,0.4,0.6,0.3,0.5,0.6,1.2,0.6,1,3,7,35,white_cream,Corymbia_tessellaris,Corymbia tessellaris,Blakella
Corymbia torelliana,0.7,0.8,0.5,0.7,0.9,1.4,0.8,1.4,3,7,30,white_cream,Corymbia_torelliana,Corymbia torelliana,Blakella
Corymbia torta,0.5,0.6,0.3,0.4,0.6,0.9,0.5,0.9,3,7,15,white_cream,Corymbia_torta,Corymbia torta,Blakella
Corymbia trachyphloia,0.4,0.5,0.2,0.4,0.6,1,0.5,0.8,7,7,30,white_cream,Corymbia_trachyphloia,Corymbia trachyphloia,Corymbia
Corymbia umbonata,0.6,0.8,0.5,0.6,1.2,1.9,1.1,1.6,7,7,17,white_cream,NA,Corymbia umbonata,Corymbia
